date,production
10/16/2015,444618
10/9/2015,436590
10/2/2015,429028
09/25/2015,425988
09/18/2015,422033
09/11/2015,423958
09/4/2015,426062
08/28/2015,423657
08/21/2015,418990
08/14/2015,424442
08/7/2015,421822
07/31/2015,423226
07/24/2015,427633
07/17/2015,431836
07/10/2015,429368
07/3/2015,433714
06/26/2015,433223
06/19/2015,430837
06/12/2015,435771
06/5/2015,438447
05/29/2015,444464
05/22/2015,446412
05/15/2015,449214
05/8/2015,451888
05/1/2015,454079
04/24/2015,458181
04/17/2015,456271
04/10/2015,450956
04/3/2015,449662
03/27/2015,437983
03/20/2015,433217
03/13/2015,425047
03/6/2015,415425
02/27/2015,410246
02/20/2015,399943
02/13/2015,391516
02/6/2015,383800
01/30/2015,379473
01/23/2015,373140
01/16/2015,364266
01/9/2015,354195
01/2/2015,348806
12/26/2014,352979
12/19/2014,354733
12/12/2014,347466
12/5/2014,348313
11/28/2014,347015
11/21/2014,350704
11/14/2014,348758
11/7/2014,346150
10/31/2014,348935
10/24/2014,348475
10/17/2014,346414
10/10/2014,339303
10/3/2014,330380
09/26/2014,325465
09/19/2014,326828
09/12/2014,331101
09/5/2014,327428
08/29/2014,328119
08/22/2014,329024
08/15/2014,331094
08/8/2014,335568
08/1/2014,334167
07/25/2014,335631
07/18/2014,339328
07/11/2014,343297
07/4/2014,350822
06/27/2014,353229
06/20/2014,356384
06/13/2014,354642
06/6/2014,355221
05/30/2014,357951
05/23/2014,361382
05/16/2014,359725
05/9/2014,366951
05/2/2014,366004
04/25/2014,367576
04/18/2014,365878
04/11/2014,362354
04/4/2014,352341
03/28/2014,348423
03/21/2014,350802
03/14/2014,344183
03/7/2014,338333
02/28/2014,332453
02/21/2014,331024
02/14/2014,330956
02/7/2014,329983
01/31/2014,326930
01/24/2014,326490
01/17/2014,320069
01/10/2014,319079
01/3/2014,326737
12/27/2013,330695
12/20/2013,337702
12/13/2013,342433
12/6/2013,345374
11/29/2013,356378
11/22/2013,361963
11/15/2013,359010
11/8/2013,358635
11/1/2013,355995
10/25/2013,354806
10/18/2013,350719
10/11/2013,345473
10/4/2013,341474
09/27/2013,334730
09/20/2013,329258
09/13/2013,326623
09/6/2013,330991
08/30/2013,331609
08/23/2013,333445
08/16/2013,330459
08/9/2013,331887
08/2/2013,334699
07/26/2013,336130
07/19/2013,335699
07/12/2013,338524
07/5/2013,345426
06/28/2013,355163
06/21/2013,365510
06/14/2013,365492
06/7/2013,365179
05/31/2013,362550
05/24/2013,368817
05/17/2013,365817
05/10/2013,366155
05/3/2013,366779
04/26/2013,366408
04/19/2013,359712
04/12/2013,358765
04/5/2013,359998
03/29/2013,360116
03/22/2013,357409
03/15/2013,354153
03/8/2013,355467
03/1/2013,352843
02/22/2013,349107
02/15/2013,347977
02/8/2013,343834
02/1/2013,343274
01/25/2013,340940
01/18/2013,334993
01/11/2013,332180
01/4/2013,333131
12/28/2012,332239
12/21/2012,343359
12/14/2012,343945
12/7/2012,344909
11/30/2012,344769
11/23/2012,347126
11/16/2012,347473
11/9/2012,348939
11/2/2012,347850
10/26/2012,346303
10/19/2012,348348
10/12/2012,342452
10/5/2012,339592
09/28/2012,338080
09/21/2012,338562
09/14/2012,341008
09/7/2012,332474
08/31/2012,331065
08/24/2012,338491
